STATE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,LATITUDE,LONGITUD,MAN_COLL,WEATHER,SCH_BUS,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10167,2,0,2,47,8,4,2010,5,5,5,0,32.35648333,-86.98151111,1,1,0,5,30,0,0,0,1,0
1,10168,1,0,1,125,9,4,2010,6,4,53,1,33.16962222,-87.55240278,0,1,0,5,3,0,0,0,1,0
1,10169,1,0,2,63,9,4,2010,6,14,30,1,32.74766111,-88.08644722,0,1,0,15,10,0,0,0,1,0
1,10170,1,0,1,89,10,4,2010,7,17,20,1,34.75875,-86.56333889,0,1,0,17,27,0,0,0,1,1
1,10171,2,0,2,3,9,4,2010,6,18,50,0,30.4066,-87.79114722,2,1,0,19,14,0,0,0,1,0
1,10172,1,0,1,77,10,4,2010,7,23,50,0,34.90099444,-87.27672778,0,1,0,0,5,0,0,0,1,0
1,10173,1,0,1,37,10,4,2010,7,21,30,0,32.89049722,-86.21039167,0,1,0,21,50,0,0,0,1,1
1,10174,1,0,1,77,10,4,2010,7,2,20,0,34.96743889,-87.8701,0,1,0,88,88,0,0,0,1,0
1,10175,1,0,2,73,11,4,2010,1,18,12,0,33.27704167,-86.94737222,0,1,0,18,6,0,0,0,2,1
1,10176,1,0,1,89,28,1,2010,5,10,50,1,34.733,-86.59788611,0,1,0,11,6,0,0,0,1,0
1,10177,2,0,3,51,5,2,2010,6,4,30,0,32.61251944,-86.15980556,2,2,0,4,45,0,0,0,1,0
1,10178,1,0,3,81,8,3,2010,2,2,23,0,32.60510833,-85.48175556,0,1,0,2,30,0,0,0,1,1
1,10179,1,0,1,47,29,3,2010,2,23,20,0,32.45051667,-87.01373611,0,1,0,23,32,0,0,0,1,1
1,10180,1,0,4,3,30,3,2010,3,13,0,1,30.57781667,-87.44945556,0,1,0,13,33,0,0,0,3,1
1,10181,3,0,5,69,7,4,2010,4,9,0,1,31.18984722,-85.39756389,6,1,0,9,6,0,0,0,2,0
1,10182,2,0,2,69,9,4,2010,6,16,50,1,31.03469722,-85.40651389,1,1,0,17,8,0,0,0,1,0
1,10183,2,0,2,89,13,4,2010,3,21,32,1,34.70495556,-86.39528333,2,1,0,21,36,0,0,0,2,0
1,10184,1,0,1,25,14,4,2010,4,15,1,1,31.68071111,-87.78370278,0,1,0,15,29,0,0,0,1,0
1,10185,2,0,2,127,14,4,2010,4,14,44,0,33.8678,-87.16696667,6,1,0,14,50,0,0,0,1,1
1,10186,1,0,2,61,14,4,2010,4,4,10,0,31.13848611,-85.64984444,0,1,0,4,24,0,0,0,1,0
